id,room,area,toilet,price
2413,2,81.4,2,46.485878055068866
2414,2,80.0,2,43.81307608852369
2415,2,79.8,2,49.486720604953106
2416,3,105.0,2,36.33813620160622
2417,3,83.0,2,21.906686106056558
2418,2,56.0,1,55.090753629297055
2419,2,80.36,2,44.93038833918533
2420,3,103.0,2,54.864641051049304
2421,2,70.0,2,36.00431296025395
2422,2,68.0,2,53.00591727410706
2423,2,74.0,2,49.81043653192423
2424,2,120.0,2,25.550698202585544
2425,2,80.0,2,99.81877232884342
2426,3,115.0,2,42.09616639884667
2427,1,52.0,1,21.906686106056558
2428,1,45.0,1,28.94794548235458
2429,2,63.3,2,32.50638844498329
2430,3,80.0,2,42.628872251691135
2431,3,94.0,2,21.906686106056558
2432,1,49.0,1,26.11222074779117
2433,2,56.0,2,21.906686106056558
2434,1,49.0,1,33.914194077672306
2435,2,73.0,1,58.55448497268656
2436,2,84.0,2,35.26358097781199
2437,2,75.0,2,30.421068246341417
2438,1,30.0,1,46.82941722143735
2439,2,68.0,2,25.37153582064055
2440,2,63.5,1,25.37153582064055
2441,2,63.5,1,38.74874823493662
2442,2,77.0,2,28.594534371234843
2443,2,73.0,2,21.906686106056558
2444,2,56.0,2,49.303398639224405
2445,2,112.6,2,38.8145993279003
2446,3,111.0,2,65.06329394096473
2447,3,111.4,3,49.486720604953106
2448,2,82.0,2,45.52324720630869
2449,2,47.0,2,45.52324720630869
2450,2,47.0,2,49.303398639224405
2451,2,112.6,2,38.8145993279003
2452,3,111.0,2,65.06329394096473
2453,3,111.4,3,44.95998025362739
2454,2,86.0,2,36.22626306714478
2455,3,118.0,2,57.55406905418702
2456,3,85.0,2,57.55406905418702
2457,3,85.0,2,37.03639573635169
2458,3,100.0,2,49.486720604953106
2459,3,107.0,2,45.061782370211475
2460,2,45.0,1,44.95998025362739
2461,2,48.0,1,21.906686106056558
2462,2,55.0,1,29.626051091934322
2463,2,48.0,2,29.094849725015553
2464,2,45.0,1,34.849803095814124
2465,3,92.75,2,49.486720604953106
2466,3,113.0,2,20.617429742321693
2467,2,45.0,1,44.95998025362739
2468,2,45.0,1,28.594534371234843
2469,3,118.0,2,37.94448176137009
2470,3,90.0,2,37.418571187816305
2471,1,41.0,1,37.769554987974026
2472,2,68.0,2,43.605263115488995
2473,2,80.0,2,36.0225804232409
2474,1,50.0,1,36.0225804232409
2475,3,90.9,2,27.99604165945001
2476,2,63.0,2,27.99604165945001
2477,2,63.0,2,32.069351676988454
2478,2,65.0,2,29.495436957733872
2479,2,85.0,2,24.880720275126706
2480,3,123.0,2,30.264657279809207
2481,3,107.0,2,29.415482947765973
2482,2,69.0,2,38.8145993279003
2483,3,116.0,2,38.8145993279003
2484,3,116.0,2,41.303153098728075
2485,3,120.0,2,45.125021372055
2486,3,89.0,2,42.73918740463014
2487,2,64.0,2,44.012233033426035
2488,2,61.5,1,35.26358097781199
2489,2,70.0,2,36.77258394462372
2490,3,100.3,2,37.13691074233795
2491,2,77.0,2,35.26358097781199
2492,3,132.0,2,40.876166428694454
2493,3,100.0,2,40.876166428694454
2494,2,64.5,2,40.876166428694454
2495,1,43.0,1,55.428396026834946
2496,3,65.0,2,37.35444260047239
2497,2,73.0,2,41.40129075591222
2498,2,64.0,1,45.0155732880853
2499,3,95.0,2,30.264657279809207
2500,2,56.5,1,55.428396026834946
2501,3,82.0,2,47.30213535374868
2502,2,72.0,2,37.35444260047239
2503,2,68.0,2,43.95837283394777
2504,3,87.0,2,32.069351676988454
2505,3,90.0,2,29.323743683440785
2506,3,99.0,2,29.323743683440785
2507,3,99.0,2,27.99604165945001
2508,3,79.0,2,42.653839445682856
2509,2,62.0,1,31.749251660168852
2510,3,106.85,2,34.82752595434983
2511,2,67.0,2,32.97369138130934
2512,2,75.0,2,34.82752595434983
