id,room,toilet,area,x,y,khoang_cach,quan,polistic,furniture,direct,direct2,price,n_hospital
2784,3,2,95,21.01905632,105.7879791,2.91,Cau Giay,so do,day du,Dong - Bac,Tay - Nam,45.26315789,1
2785,3,2,99.2,21.02216148,105.7717972,3.89,Dong Da,so do,day du,Tay - Nam,Dong - Bac,41.83467742,0
2786,2,2,97,21.07390404,105.7999802,3.13,Ha Dong,so do,co ban,Tay,Dong - Bac,75.25773196,0
2787,3,3,160,21.06970978,105.8112106,2.76,Ha Dong,so do,cao cap,Tay - Nam,Dong - Nam,103.125,0
2788,2,2,90,21.00266647,105.8154297,4.17,Thanh Xuan,so do,co ban,Dong - Bac,Tay - Nam,48.33333333,4
2789,2,2,61.5,20.96714592,105.8331375,8.09,Cau Giay,hdmb,day du,Dong - Bac,Tay - Nam,21.95121951,1
2790,2,2,80.36,21.02956772,105.7918777,1.85,Cau Giay,hdmb,day du,Tay - Bac,Dong - Nam,53.50920856,0
2791,2,2,74,20.99895859,105.7880325,4.7,Nam Tu Liem,so do,day du,Tay - Nam,Dong - Bac,48.64864865,3
2792,4,3,158.6,21.01864815,105.7817917,3.34,Ha Dong,hdmb,day du,Nam,Bac,52.96343001,0
2793,3,2,115,21.01124191,105.7953415,3.3,Cau Giay,so do,day du,Dong - Nam,Tay - Nam,37.39130435,2
2794,3,2,95,21.01905632,105.7879791,2.91,Dong Da,so do,day du,Dong - Bac,Tay - Nam,45.26315789,1
2795,2,2,75.9,21.00026512,105.8699341,7.79,Hoang Mai,so do,co ban,Tay - Bac,Dong - Nam,40.18445323,0
2796,3,2,103,21.00522614,105.8050613,3.77,Hoang Mai,so do,cao cap,Dong - Bac,Dong - Bac,58.25242718,4
2797,3,2,116,21.0040864,105.8031129,3.89,Cau Giay,so do,day du,Dong - Nam,Tay - Bac,39.22413793,4
2798,2,2,71,20.98303413,105.8351135,6.72,Bac Tu Liem,so do,co ban,Tay - Bac,Dong - Nam,39.43661972,2
2799,2,2,71,20.98303413,105.8351135,6.72,Nam Tu Liem,so do,co ban,Tay - Bac,Dong - Nam,39.43661972,2
2800,2,2,78.8,20.98386002,105.8466034,7.24,Nam Tu Liem,hdmb,nguyen_ban,Bac,Nam,42.00507614,2
2801,2,2,86,21.03656769,105.7604828,4.47,Thanh Xuan,so do,day du,Tay - Bac,Dong - Nam,37.20930233,1
2802,3,2,145,21.07213593,105.810997,2.99,Thanh Xuan,so do,co ban,Tay - Bac,Tay - Bac,35.86206897,0
2803,3,2,106,21.03445816,105.7696533,3.61,Hoang Mai,so do,day du,Dong - Bac,Dong - Nam,54.71698113,0
2804,2,2,67,20.9525795,105.757576,10.19,Nam Tu Liem,so do,co ban,Tay,Nam,24.17910448,0
2805,2,1,48.6,20.94633102,105.7557831,10.83,Hoang Mai,so do,co ban,Bac,Nam,23.66255144,0
2806,1,1,34,21.01188278,105.7864456,3.6,Thanh Xuan,so do,day du,Tay - Bac,Dong - Nam,55.88235294,2
2807,2,2,69,21.01188278,105.7864456,3.6,Hoang Mai,so do,day du,Dong - Nam,Tay - Bac,50.72463768,2
2808,2,2,81.6,21.02216148,105.7717972,3.89,Tay Ho,so do,day du,Tay - Bac,Dong - Nam,44.11764706,0
2809,3,2,91,21.0124321,105.767395,4.82,Cau Giay,so do,cao cap,Bac,Dong - Nam,56.59340659,0
2810,2,2,82,21.01875877,105.7947769,2.61,Ha Dong,so do,day du,Tay - Bac,Dong - Bac,41.95121951,2
2811,1,1,47,20.96345901,105.762764,8.99,Bac Tu Liem,hdmb,day du,Tay - Bac,Dong - Nam,34.04255319,2
2812,3,2,83,20.95990562,105.7918015,8.4,Nam Tu Liem,so do,day du,Dong - Bac,Tay - Nam,32.53012048,2
2813,3,2,105,20.99599457,105.8612671,7.35,Nam Tu Liem,so do,day du,Dong - Nam,Tay - Bac,66.66666667,0
2814,4,3,158.6,21.01864815,105.7817917,3.34,Ha Dong,hdmb,cao cap,Tay - Nam,Dong - Bac,49.81084489,0
2815,4,3,171,21.07865143,105.8026123,3.58,Tay Ho,hdmb,cao cap,Nam,Bac,80.11695906,0
2816,2,2,69,21.08407513,105.809164,4.14,Cau Giay,hdmb,cao cap,Tay - Nam,Dong - Bac,77.53623188,0
2817,4,4,335,20.99668503,105.873848,8.32,Hai Ba Trung,hdmb,nguyen_ban,Bac,Nam,47.46268657,0
2818,3,2,93,21.0003386,105.804204,4.26,Hai Ba Trung,so do,day du,Tay - Bac,Dong - Nam,47.95698925,4
2819,2,2,68,20.96728516,105.7781754,8.02,Hai Ba Trung,hdmb,day du,Tay - Nam,Dong - Bac,33.82352941,3
2820,3,2,95,21.04513359,105.7677917,3.7,Bac Tu Liem,so do,day du,Tay - Bac,Dong - Nam,30.52631579,0
2821,2,1,55,21.00885201,105.7439194,6.97,Hoang Mai,so do,day du,Dong - Bac,Dong - Bac,41.81818182,0
2822,2,1,63,21.04431725,105.877861,7.32,Hoang Mai,so do,day du,Tay - Bac,Dong - Nam,50,3
2823,2,2,79,20.99458504,105.8633957,7.6,Ha Dong,so do,day du,Dong - Nam,Nam,35.44303797,0
2824,2,2,80,20.99458504,105.8633957,7.6,Thanh Tri,so do,day du,Dong - Nam,Nam,33.75,0
2825,2,2,73,20.99653816,105.8633881,7.48,Long Bien,so do,day du,Nam,Nam,41.09589041,0
2826,2,2,72,20.98543167,105.8393402,6.71,Ha Dong,so do,day du,Dong,Dong,37.5,2
2827,2,2,68.6,21.02097893,105.7910614,2.58,Thanh Tri,so do,day du,Tay - Bac,Dong - Nam,47.37609329,2
2828,2,2,73,20.98278236,105.8343811,6.71,Ha Dong,so do,day du,Dong,Dong,39.7260274,1
2829,3,3,134,20.9908123,105.7839127,5.61,Thanh Tri,so do,day du,Dong - Nam,Tay - Bac,23.88059701,1
2830,2,1,55,21.00580597,105.7943726,3.85,Nam Tu Liem,hdmb,day du,Dong - Nam,Tay - Bac,45.45454545,2
2831,3,2,70,21.00580597,105.7943726,3.85,Nam Tu Liem,so do,day du,Dong - Nam,Tay - Bac,61.42857143,2
2832,2,2,87,20.97274315,105.7995251,7.04,Thanh Xuan,so do,day du,Dong - Bac,Dong - Nam,27.01149425,2
2833,2,2,72,21.02140045,105.7920532,2.5,Tay Ho,so do,day du,Dong - Nam,Tay - Bac,40.55555556,2
2834,2,2,78,21.04423332,105.7673187,3.74,Thanh Xuan,so do,co ban,Tay - Bac,Dong - Nam,36.92307692,0
2835,3,2,78,21.05760002,105.8845978,8.12,Hoang Mai,so do,day du,Tay - Bac,Dong - Nam,33.33333333,2
2836,3,2,115,21.0024147,105.9641113,16.45,Ba Dinh,hdmb,nguyen_ban,Tay - Bac,Dong - Nam,40,0
2837,3,2,95,21.07865143,105.8026123,3.58,Dong Da,so do,day du,Bac,Dong - Nam,41.05263158,0
2838,3,2,126,20.99964523,105.7993851,4.36,Nam Tu Liem,so do,co ban,Tay - Bac,Dong - Nam,29.36507937,5
2839,4,3,110,20.94645882,105.8557816,10.92,Tay Ho,so do,co ban,Dong - Nam,Dong - Bac,26.36363636,3
2840,3,2,95,21.03717804,105.8730698,6.86,Tay Ho,so do,day du,Dong - Nam,Dong - Nam,50.52631579,2
2841,3,2,84,21.04431725,105.877861,7.32,Hoang Mai,so do,day du,Tay - Nam,Dong - Bac,49,3
2842,4,3,137,20.98651886,105.7863998,5.93,Cau Giay,so do,co ban,Tay - Bac,Dong - Nam,32.84671533,1
2843,2,1,50,20.97145653,105.8281708,7.52,Ba Dinh,so do,day du,Tay - Bac,Dong - Nam,30,0
2844,3,2,139,21.04423332,105.7673187,3.74,Hoang Mai,so do,day du,Tay - Nam,Tay - Bac,35.97122302,0
2845,3,2,104,21.04431725,105.877861,7.32,Hoang Mai,so do,co ban,Dong - Bac,Tay - Nam,41.34615385,3
2846,3,2,135,20.98345757,105.7856445,6.24,Ba Dinh,so do,day du,Tay - Bac,Dong - Nam,33.33333333,3
2847,2,2,80,20.99433327,105.8675613,7.94,Dong Da,so do,day du,Dong,Dong,50,0
2848,2,2,73.7,21.00174141,105.9421463,14.35,Hoang Mai,so do,cao cap,Dong - Bac,Tay - Nam,38.15468114,0
2849,2,2,79,20.99433327,105.8675613,7.94,Tay Ho,so do,day du,Tay,Dong,54.43037975,0
2850,2,2,66.68,21.03314972,105.7321854,7.32,Cau Giay,so do,day du,Dong - Bac,Tay - Nam,44.9910018,1
2851,3,2,115,21.00886726,105.820343,3.75,Hai Ba Trung,so do,day du,Tay - Bac,Dong - Nam,39.13043478,4
2852,2,2,65,21.01414871,105.7887268,3.29,Thanh Xuan,so do,day du,Dong - Nam,Tay - Bac,35.38461538,2
2853,3,2,109,21.03623962,105.7853775,2.05,Bac Tu Liem,so do,nguyen_ban,Dong - Nam,Tay - Bac,31.19266055,1
2854,2,2,124,21.02951241,105.8181686,1.9,Nam Tu Liem,so do,day du,Dong - Nam,Tay - Bac,41.93548387,1
2855,2,1,73,20.97145653,105.8281708,7.52,Thanh Xuan,so do,day du,Dong - Bac,Tay - Nam,26.84931507,0
2856,3,2,115,21.01875877,105.7947769,2.61,Tay Ho,so do,day du,Tay - Bac,Dong - Nam,33.04347826,2
2857,3,2,90,21.0118082,105.8083617,3.13,Hai Ba Trung,so do,day du,Tay - Nam,Dong - Bac,34.44444444,3
2858,3,2,97,20.98434067,105.7768097,6.49,Ha Dong,so do,cao cap,Tay - Bac,Dong - Nam,39.69072165,3
2859,2,2,80,20.99972153,105.828331,4.92,Nam Tu Liem,so do,cao cap,Dong - Nam,Tay - Bac,47.5,5
2860,2,2,93,20.997612,105.8093262,4.55,Cau Giay,so do,day du,Dong - Nam,Tay - Bac,32.25806452,4
2861,3,2,106,21.0201683,105.7807541,3.3,Thanh Xuan,so do,day du,Dong - Bac,Tay - Nam,43.39622642,0
2862,4,4,170,21.0201683,105.7807541,3.3,Cau Giay,so do,day du,Tay - Bac,Dong - Nam,73.52941176,0
2863,2,2,66,21.03314972,105.7321854,7.32,Long Bien,hdmb,day du,Tay - Bac,Dong - Nam,40,1
2864,2,1,59.8,21.05967522,105.8040771,1.68,Nam Tu Liem,so do,day du,Nam,Bac,58.52842809,2
2865,2,2,73,21.03108406,105.7745667,3.24,Tay Ho,so do,cao cap,Tay - Bac,Dong - Nam,44.52054795,0
2866,4,2,114,21.04423332,105.7673187,3.74,Nam Tu Liem,hdmb,day du,Dong - Nam,Tay - Bac,39.47368421,0
2867,3,2,125,21.00029182,105.8160095,4.41,Tay Ho,so do,day du,Tay - Nam,Dong - Bac,45,4
2868,3,2,146,20.97929001,105.7854614,6.65,Nam Tu Liem,so do,day du,Dong - Bac,Tay - Bac,35.61643836,3
2869,3,2,107,20.98337555,105.7835312,6.32,Bac Tu Liem,so do,day du,Dong - Nam,Tay - Bac,38.31775701,3
2870,2,2,133,21.03004456,105.7766266,3.09,Long Bien,so do,day du,Nam,Bac,30.07518797,0
2871,3,2,105,20.95876884,105.8463135,9.39,Dong Da,so do,co ban,Dong - Nam,Dong - Nam,34.28571429,2
2872,3,2,133,20.99751663,105.795166,4.64,Ha Dong,so do,day du,Dong - Nam,Tay - Bac,23.30827068,4
2873,2,2,81,20.9952507,105.7844086,5.18,Cau Giay,so do,day du,Tay - Bac,Dong - Nam,29.62962963,1
2874,3,2,105,21.03656769,105.7604828,4.47,Bac Tu Liem,so do,co ban,Tay - Nam,Dong - Bac,50.47619048,1
2875,2,2,70,20.95020294,105.791069,9.37,Nam Tu Liem,so do,day du,Dong - Nam,Tay - Bac,22.57142857,1
2876,3,2,133,21.03004456,105.7766266,3.09,Hai Ba Trung,so do,co ban,Nam,Bac,33.08270677,0
2877,2,2,86.8,21.05967522,105.8040771,1.68,Nam Tu Liem,so do,day du,Dong,Tay,41.47465438,2
2878,2,2,70,20.97602463,105.7615967,7.96,Ha Dong,so do,day du,Tay - Bac,Tay - Nam,27.14285714,1
2879,3,2,85,21.06510162,105.8886566,8.68,Nam Tu Liem,hdmb,day du,Tay - Bac,Dong - Nam,25.88235294,2
2880,3,2,126,20.99964523,105.7993851,4.36,Ha Dong,so do,co ban,Dong - Nam,Dong - Bac,26.98412698,5
2881,2,1,47,20.96473503,105.8263626,8.11,Ba Dinh,hdmb,co ban,Tay - Nam,Dong - Bac,25.53191489,1
