id,room,area,toilet,x,y,khoang_cach,n_hospital,Price_pred
10663,3,94.0,2,21.0124321,105.767395,4.82,0,44.73684211
1386,3,161.9,2,21.07865143,105.8026123,3.58,0,45.681818177500006
2765,2,54.3,2,20.9732914,105.8200073,7.13,0,46.611893584444445
3981,3,95.8,2,21.00298119,105.7320557,8.29,0,20.83333333
7899,2,48.0,1,21.0255158,105.8275913,2.88,1,37.716658340909085
1313,2,72.0,2,21.02724648,105.7860107,2.44,0,32.35294118
2067,3,92.0,2,20.99843788,105.8667374,7.63,0,34.94074860531914
2584,2,70.0,2,20.9908123,105.7839127,5.61,1,37.33333333
3423,2,58.0,1,21.07865143,105.8026123,3.58,0,62.857142859999996
1871,1,36.0,1,21.00278,105.945465,14.64,0,47.36842105
6194,2,55.0,1,21.00885201,105.7439194,6.97,0,59.0218642109091
4984,3,92.0,3,20.9952507,105.7844086,5.18,1,52.18750000000001
9468,1,36.0,1,21.0260381,105.8398772,3.9,4,46.296296299999995
7539,2,62.0,2,20.97953796,105.8416138,7.33,1,46.95652174
9437,1,76.0,2,21.06409264,105.8097382,2.18,1,35.6318378
1209,1,49.0,1,21.0024147,105.9641113,16.45,0,41.747114586842116
3207,2,52.0,1,21.00657463,105.7450485,6.99,0,34.94074860531914
3016,3,117.0,2,20.97366714,105.7587128,8.31,1,18.491704374705883
6224,1,35.0,1,21.00580597,105.7943726,3.85,2,40.23271154571428
8986,3,100.0,2,20.9919548,105.7851028,5.46,1,19.85714286
9134,2,33.0,2,20.9877606,105.8006384,5.53,3,44.18604651
1067,2,72.0,2,21.07016945,105.9068375,10.57,2,60.31746032
4900,2,73.0,2,20.97602463,105.7615967,7.96,1,66.35101010111111
1155,3,127.0,2,20.97843933,105.772644,7.2,2,43.00346344666667
121,3,98.4,2,21.07865143,105.8026123,3.58,0,54.65116279
7611,3,100.0,2,21.02741051,105.7935104,1.91,0,54.09946358499999
614,1,45.1,1,21.02358246,105.8052292,1.93,3,41.747114586842116
8856,3,80.0,2,21.0024147,105.9641113,16.45,0,35.848313865714275
8831,2,80.0,2,20.99599457,105.8612671,7.35,0,35.0
4230,2,85.0,2,21.08014297,105.8136902,3.83,0,50.921899278000005
10536,3,126.0,2,21.06357574,105.795311,2.27,1,24.646258502857144
