id,room,area,toilet,x,y,khoang_cach,n_hospital,price
7899.0,2.0,48.0,1.0,21.0255158,105.8275913,2.88,1.0,43.51194851071639
1313.0,2.0,72.0,2.0,21.02724648,105.7860107,2.44,0.0,32.21598051475185
2067.0,3.0,92.0,2.0,20.99843788,105.8667374,7.63,0.0,39.2777086988542
2584.0,2.0,70.0,2.0,20.9908123,105.7839127,5.61,1.0,43.04228179344242
3423.0,2.0,58.0,1.0,21.07865143,105.8026123,3.58,0.0,36.640648645836926
1871.0,1.0,36.0,1.0,21.00278,105.945465,14.64,0.0,49.868337878868026
6194.0,2.0,55.0,1.0,21.00885201,105.7439194,6.97,0.0,48.5002320326451
4984.0,3.0,92.0,3.0,20.9952507,105.7844086,5.18,1.0,42.39611764453694
9468.0,1.0,36.0,1.0,21.0260381,105.8398772,3.9,4.0,49.329750409233014
7539.0,2.0,62.0,2.0,20.97953796,105.8416138,7.33,1.0,41.82429368449266
9437.0,1.0,76.0,2.0,21.06409264,105.8097382,2.18,1.0,44.5680200668084
1209.0,1.0,49.0,1.0,21.0024147,105.9641113,16.45,0.0,39.64584722918236
3207.0,2.0,52.0,1.0,21.00657463,105.7450485,6.99,0.0,40.055696439073515
3016.0,3.0,117.0,2.0,20.97366714,105.7587128,8.31,1.0,28.44976404872217
6224.0,1.0,35.0,1.0,21.00580597,105.7943726,3.85,2.0,36.10564333276649
8986.0,3.0,100.0,2.0,20.9919548,105.7851028,5.46,1.0,35.53432446094995
9134.0,2.0,33.0,2.0,20.9877606,105.8006384,5.53,3.0,40.88926657513105
1067.0,2.0,72.0,2.0,21.07016945,105.9068375,10.57,2.0,66.60799339482674
4900.0,2.0,73.0,2.0,20.97602463,105.7615967,7.96,1.0,59.705312764463976
1155.0,3.0,127.0,2.0,20.97843933,105.772644,7.2,2.0,42.22801159142457
121.0,3.0,98.4,2.0,21.07865143,105.8026123,3.58,0.0,44.40573678208767
7611.0,3.0,100.0,2.0,21.02741051,105.7935104,1.91,0.0,42.232484440679755
614.0,1.0,45.1,1.0,21.02358246,105.8052292,1.93,3.0,38.86808934936595
8856.0,3.0,80.0,2.0,21.0024147,105.9641113,16.45,0.0,40.91858424910419
8831.0,2.0,80.0,2.0,20.99599457,105.8612671,7.35,0.0,43.85631805517291
4230.0,2.0,85.0,2.0,21.08014297,105.8136902,3.83,0.0,44.10830244183698
10536.0,3.0,126.0,2.0,21.06357574,105.795311,2.27,1.0,32.943014398107
932.0,3.0,85.0,2.0,21.06510162,105.8886566,8.68,2.0,44.692171828234045
4215.0,2.0,64.0,2.0,21.00885201,105.7439194,6.97,0.0,14.855700320458752
6457.0,2.0,83.0,2.0,20.99433327,105.8675613,7.94,0.0,43.572239962060195
225.0,2.0,45.0,1.0,20.97776985,105.836113,7.23,1.0,41.78456883567755
46.0,2.0,63.0,2.0,21.0024147,105.9641113,16.45,0.0,43.60306823950813
164.0,3.0,137.0,2.0,20.98651886,105.7863998,5.93,1.0,40.484169712171486
6551.0,2.0,55.0,2.0,20.98554039,105.7989426,5.77,2.0,43.06856964274472
6647.0,3.0,164.0,2.0,21.00557899,105.8037491,3.74,3.0,33.11661946533853
2515.0,2.0,63.5,1.0,20.95438957,105.7445679,10.7,0.0,23.24404389969107
6889.0,2.0,91.0,2.0,20.97332001,105.7782822,7.45,4.0,53.288647787295446
7924.0,2.0,71.0,2.0,20.95890427,105.8381805,9.04,2.0,40.622444102064854
8182.0,2.0,68.0,2.0,20.99835014,105.806366,4.46,4.0,21.871804595144482
1310.0,3.0,95.0,2.0,20.97447205,105.7608795,8.13,1.0,46.077814756753604
4289.0,4.0,203.0,2.0,21.02097893,105.7910614,2.58,2.0,35.34376217437533
8539.0,3.0,130.0,2.0,20.99993896,105.8363724,5.34,3.0,39.50808589092506
9836.0,3.0,135.0,3.0,21.00048828,105.8071594,4.25,4.0,49.206979398915735
1863.0,3.0,94.0,2.0,21.03272629,105.753746,5.2,1.0,35.34376217437533
4459.0,3.0,90.0,2.0,20.97309303,105.8383713,7.75,1.0,41.68308255619072
1000.0,2.0,67.0,2.0,21.03512001,105.7674332,3.81,0.0,43.264048474922305
5954.0,3.0,99.0,2.0,21.08234978,105.8717575,7.78,0.0,37.91043728926304
