id,room,toilet,area,x,y,khoang_cach,quan,polistic,furniture,direct,direct2,price,n_hospital
2449,2,2,47,21.0034688,105.8110286,4,Thanh Xuan,so do,day du,Dong,Dong - Nam,12.40425532,4
3494,2,2,77,20.97642708,105.8254318,6.97,Hoang Mai,hdmb,day du,Tay - Bac,Dong - Nam,33,1
9717,3,2,116,21.04423332,105.7673187,3.74,Tay Ho,so do,day du,Tay - Nam,Dong - Nam,32.32758621,0
7722,2,2,76,21.03413582,105.7641068,4.15,Nam Tu Liem,so do,day du,Dong - Bac,Tay - Nam,33.55263158,1
2382,3,2,90,20.99688148,105.8179703,4.79,Gia Lam,so do,day du,Tay - Bac,Dong - Nam,30,3
4598,2,1,61,21.01905632,105.7879791,2.91,Long Bien,so do,day du,Tay - Bac,Dong - Nam,46.72131148,1
4400,2,2,84,20.97366714,105.7587128,8.31,Ha Dong,so do,day du,Tay - Nam,Dong - Bac,28.57142857,1
1220,3,2,127,20.97843933,105.772644,7.2,Ha Dong,so do,day du,Tay - Bac,Dong - Nam,26.77165354,2
9599,4,5,320,21.03445816,105.7696533,3.61,Hoang Mai,so do,day du,Dong - Bac,Tay - Nam,87.5,0
4705,2,2,65,20.991436,105.7560654,7.08,Nam Tu Liem,so do,cao cap,Dong,Tay,30.76923077,0
9236,2,2,68,21.0024147,105.9641113,16.45,Gia Lam,so do,day du,Dong - Nam,Tay - Bac,26.47058824,0
7919,2,2,59,21.0024147,105.9641113,16.45,Gia Lam,so do,day du,Tay - Bac,Tay - Bac,28.81355932,0
2381,2,2,71,21.01609802,105.7924881,2.95,Thanh Xuan,so do,day du,Dong - Bac,Tay - Nam,50,2
3501,2,1,59,21.03506279,105.7496643,5.56,Nam Tu Liem,so do,day du,Dong - Nam,Tay - Bac,38.98305085,1
9066,2,2,72.5,21.0201683,105.7807541,3.3,Nam Tu Liem,so do,day du,Dong - Bac,Tay - Nam,51.03448276,0
6995,2,1,42,21.0713783,105.7953947,2.99,Bac Tu Liem,hdmb,day du,Nam,Bac,25,0
8684,2,1,59.7,21.0024147,105.9641113,16.45,Gia Lam,so do,nguyen_ban,Dong - Bac,Tay - Nam,25.12562814,0
4553,2,2,93,21.05967522,105.8040771,1.68,Tay Ho,so do,day du,Bac,Nam,41.39784946,2
1878,4,3,170,21.0201683,105.7807541,3.3,Thanh Xuan,so do,day du,Dong - Nam,Tay - Bac,73.52941176,0
3417,2,1,65,20.99433327,105.8675613,7.94,Thanh Xuan,so do,day du,Bac,Nam,56.92307692,0
2351,3,2,80,21.0024147,105.9641113,16.45,Gia Lam,so do,day du,Dong - Nam,Tay - Bac,33.125,0
8847,2,2,70,20.99629784,105.8056335,4.66,Thanh Xuan,so do,day du,Tay - Bac,Dong - Nam,40,5
5827,1,1,37,21.00086212,105.7930527,4.36,Thanh Xuan,hdmb,cao cap,Tay - Bac,Dong - Nam,37.83783784,3
7812,3,2,97,21.09144402,105.7847214,5.25,Bac Tu Liem,hdmb,nguyen_ban,Tay - Nam,Dong - Bac,36.90721649,1
7320,2,2,112,21.00266647,105.8154297,4.17,Thanh Xuan,so do,day du,Nam,Bac,42.85714286,4
6722,3,2,106,21.09144402,105.7847214,5.25,Nam Tu Liem,hdmb,day du,Dong - Bac,Tay - Nam,43.86792453,1
1961,2,2,68,20.9732914,105.8200073,7.13,Gia Lam,so do,co ban,Dong - Nam,Tay - Bac,28.23529412,0
8559,4,5,292,21.02724648,105.7860107,2.44,Long Bien,so do,cao cap,Tay - Nam,Dong - Bac,61.64383562,0
3526,2,2,65,21.02097893,105.7910614,2.58,Cau Giay,so do,day du,Tay - Nam,Dong - Bac,52.30769231,2
9623,2,1,54.8,21.00885201,105.7439194,6.97,Nam Tu Liem,so do,cao cap,Dong - Nam,Tay - Bac,38.32116788,0
6015,3,2,103,21.00522614,105.8050613,3.77,Thanh Xuan,so do,cao cap,Dong - Bac,Tay - Nam,69.90291262,4
9679,2,2,60,20.97480011,105.8353043,7.47,Hoang Mai,so do,day du,Dong,Tay,43.33333333,1
1589,2,2,69.4,20.99727631,105.8029861,4.57,Thanh Xuan,so do,day du,Tay - Bac,Dong - Nam,47.55043228,5
367,2,2,69.4,20.98434067,105.7768097,6.49,Nam Tu Liem,so do,day du,Tay - Nam,Dong - Bac,42.93948127,3
370,2,2,70,20.97321701,105.7788544,7.43,Ha Dong,so do,day du,Tay - Bac,Dong - Nam,34.28571429,4
4774,2,2,71,20.98464203,105.7747192,6.55,Ha Dong,so do,day du,Dong - Bac,Tay - Nam,25.21126761,3
4152,2,2,62,20.99938774,105.8072662,4.36,Nam Tu Liem,so do,co ban,Dong - Nam,Tay - Bac,27.41935484,4
753,2,2,66,21.00485039,105.7281036,8.55,Hoai Duc,so do,cao cap,Tay - Bac,Dong - Nam,29.54545455,0
2812,3,2,83,20.95990562,105.7918015,8.4,Nam Tu Liem,so do,day du,Dong - Bac,Tay - Nam,32.53012048,2
2609,2,1,65,20.9732914,105.8200073,7.13,Hoang Mai,so do,day du,Dong - Nam,Tay - Bac,26,0
2370,2,2,78,21.04423332,105.7673187,3.74,Nam Tu Liem,so do,co ban,Tay - Nam,Dong - Bac,35.8974359,0
3204,2,2,65,21.00278091,105.9454651,14.64,Ha Dong,so do,co ban,Tay - Nam,Dong - Bac,32.30769231,0
9486,3,2,116,20.97447205,105.7608795,8.13,Ha Dong,so do,co ban,Tay - Nam,Dong - Bac,22.4137931,1
6032,2,1,58,21.07865143,105.8026123,3.58,Tay Ho,so do,day du,Bac,Nam,45.68965517,0
6151,2,1,88,20.94645882,105.8557816,10.92,Hoang Mai,so do,co ban,Dong - Nam,Dong - Nam,27.27272727,3
1577,2,1,56.5,20.97986794,105.7439194,8.76,Ha Dong,so do,day du,Tay - Bac,Dong - Nam,27.07964602,0
1610,3,2,108,21.04015923,105.7613144,4.35,Nam Tu Liem,hdmb,cao cap,Bac,Bac,46.2962963,1
9909,2,1,64,21.00885201,105.7439194,6.97,Cau Giay,so do,day du,Dong - Bac,Tay - Nam,34.375,0
1124,2,2,66,21.00485039,105.7281036,8.55,Hoai Duc,so do,day du,Dong - Bac,Tay - Nam,29.54545455,0
6654,3,2,87,21.03717804,105.8730698,6.86,Long Bien,so do,day du,Dong - Nam,Dong - Nam,39.1954023,2
7432,2,2,85,21.06269073,105.9083328,10.55,Long Bien,so do,day du,Dong - Bac,Tay - Nam,24.47058824,2
887,2,2,81,20.9952507,105.7844086,5.18,Nam Tu Liem,so do,day du,Tay - Bac,Dong - Nam,29.62962963,1
8503,3,2,82,21.03717804,105.8730698,6.86,Long Bien,so do,cao cap,Dong - Bac,Tay - Nam,48.04878049,2
209,2,2,100,21.03505135,105.7949753,1.25,Cau Giay,hdmb,day du,Tay,Dong,43.5,1
1658,2,2,80,21.09144402,105.7847214,5.25,Bac Tu Liem,so do,day du,Tay - Bac,Dong - Nam,51.25,1
692,2,2,70,20.97321701,105.7788544,7.43,Ha Dong,so do,day du,Tay - Bac,Dong - Nam,34.28571429,4
9184,3,2,95,20.96445465,105.8313599,8.29,Hoang Mai,so do,day du,Tay - Bac,Dong - Nam,30.31578947,1
4242,2,2,68,20.98600006,105.8121872,5.74,Thanh Xuan,so do,day du,Bac,Dong - Nam,45.14705882,2
3831,2,2,78.78,21.04015923,105.7613144,4.35,Nam Tu Liem,so do,cao cap,Tay - Nam,Dong - Bac,44.42751968,1
3723,3,2,112,21.00938606,105.7738724,4.56,Thanh Xuan,so do,day du,Dong,Dong - Bac,58.03571429,0
8901,2,2,70,21.0024147,105.9641113,16.45,Gia Lam,so do,cao cap,Dong - Bac,Tay - Nam,30,0
3706,2,2,62,20.96246719,105.792366,8.14,Thanh Xuan,so do,day du,Dong - Nam,Tay - Bac,23.38709677,2
8896,3,2,105,20.97241211,105.761528,8.27,Ha Dong,so do,day du,Dong - Bac,Dong - Nam,23.33333333,2
10529,2,2,60,21.06583977,105.7981491,2.38,Bac Tu Liem,so do,day du,Tay,Dong,53.33333333,1
11001,3,2,109,20.9908123,105.7839127,5.61,Nam Tu Liem,so do,day du,Tay - Nam,Dong - Bac,29.35779817,1
9949,3,2,94,21.04615211,105.9156494,11.1,Long Bien,so do,day du,Dong - Nam,Dong - Nam,45.74468085,1
1206,2,2,88,21.00839996,105.8337784,4.51,Dong Da,so do,cao cap,Dong - Bac,Tay - Nam,65,2
5480,2,2,91,21.03623962,105.7853775,2.05,Cau Giay,so do,day du,Tay,Nam,34.06593407,1
159,1,1,55,21.00174141,105.9421463,14.35,Gia Lam,so do,cao cap,Tay - Nam,Dong - Bac,35.98181818,0
4898,2,2,74.8,20.97602463,105.7615967,7.96,Ha Dong,so do,day du,Tay - Bac,Dong - Nam,30.0802139,1
1066,3,2,129,21.04423332,105.7673187,3.74,Bac Tu Liem,so do,day du,Dong - Nam,Dong - Bac,34.49612403,0
5209,3,2,103,20.97602463,105.7615967,7.96,Ba Dinh,so do,day du,Tay - Nam,Dong - Bac,23.30097087,1
7303,3,2,119,21.01434898,105.7964096,2.98,Cau Giay,so do,day du,Tay - Nam,Dong - Bac,33.52941176,2
10660,3,2,142,21.03217659,105.7739783,3.26,Hoai Duc,so do,day du,Dong - Bac,Tay - Nam,35,0
6544,3,2,107,21.0555439,105.80513,1.26,Tay Ho,hdmb,cao cap,Bac,Nam,57.00934579,2
1209,1,1,49,21.0024147,105.9641113,16.45,Gia Lam,so do,cao cap,Tay - Nam,Dong - Bac,26.53061224,0
3038,3,3,100,21.02681732,105.7876663,2.34,Bac Tu Liem,so do,cao cap,Dong - Bac,Tay - Nam,58.5,0
2036,2,2,81.4,21.01755,105.79067,2.9,Cau Giay,hdmb,day du,Dong - Nam,Tay - Nam,34,2
780,3,2,80,20.95977592,105.7418823,10.42,Ha Dong,so do,day du,Tay - Nam,Dong - Bac,29.375,0
4465,3,2,126,21.00557899,105.8037491,3.74,Thanh Xuan,so do,day du,Dong - Bac,Tay - Nam,41.26984127,3
7134,2,2,68,21.0024147,105.9641113,16.45,Gia Lam,so do,day du,Dong - Nam,Tay - Bac,27.79411765,0
5734,2,2,87.5,20.99479103,105.8678436,7.94,Hai Ba Trung,so do,day du,Nam,Bac,50.28571429,0
10027,3,2,64,20.99927711,105.7381134,7.96,Ha Dong,chua so,day du,Tay - Bac,Dong - Nam,41.640625,0
5909,3,2,116,21.04423332,105.7673187,3.74,Bac Tu Liem,so do,day du,Tay - Nam,Dong - Nam,32.32758621,0
9598,3,2,74,21.00522614,105.7389145,7.58,Nam Tu Liem,hdmb,cao cap,Tay - Nam,Dong - Bac,50,0
1036,3,2,107,20.97366714,105.7587128,8.31,Ha Dong,so do,day du,Tay - Bac,Dong - Nam,27.10280374,1
1025,3,2,83,21.04956627,105.778595,2.69,Bac Tu Liem,so do,day du,Nam,Bac,47.59036145,1
6368,3,2,100.2,21.04044151,105.7807159,2.41,Cau Giay,so do,cao cap,Dong,Dong,55.88822355,1
8290,3,2,142,21.04423332,105.7673187,3.74,Bac Tu Liem,so do,day du,Dong - Nam,Dong - Bac,42.25352113,0
7930,2,2,47,21.018134,105.855273,5.63,Hai Ba Trung,so do,day du,Dong,Dong - Nam,12.87234043,2
3732,3,2,114,21.00826073,105.7960434,3.57,Cau Giay,so do,cao cap,Tay - Nam,Dong - Bac,60.52631579,2
8564,2,2,59,21.0024147,105.9641113,16.45,Nam Tu Liem,so do,day du,Tay - Bac,Dong - Nam,27.11864407,0
9970,3,2,107,21.08229256,105.7918243,4.14,Ha Dong,so do,day du,Dong - Nam,Bac,49.53271028,1
716,2,2,67,20.98424339,105.8084488,5.88,Thanh Tri,so do,day du,Tay - Bac,Dong - Nam,37.31343284,3
3656,2,2,78,20.98434067,105.7768097,6.49,Nam Tu Liem,so do,cao cap,Dong - Nam,Tay - Bac,41.66666667,3
3622,3,2,158,21.07865143,105.8026123,3.58,Cau Giay,hdmb,cao cap,Tay - Bac,Dong - Nam,74.6835443,0
7556,3,2,104,21.05900574,105.783226,2.68,Bac Tu Liem,so do,day du,Dong,Nam,25,1
1576,5,3,220,20.999294,105.804955,4.36,Thanh Xuan,so do,day du,Tay - Bac,Dong - Nam,52.27272727,4
1867,3,2,117.7,21.00056076,105.8029175,4.24,Thanh Xuan,so do,day du,Tay - Bac,Dong - Nam,44.43500425,4
10348,4,4,230,21.04574585,105.8663788,6.17,Long Bien,so do,nguyen_ban,Tay - Nam,Dong - Bac,46.95652174,3
536,1,1,43,21.00885201,105.7439194,6.97,Nam Tu Liem,so do,day du,Tay - Bac,Dong - Nam,34.88372093,0
1410,2,2,77.4,20.98554039,105.7989426,5.77,Thanh Xuan,so do,day du,Tay - Bac,Dong - Nam,38.75968992,2
5590,4,3,234,21.06583214,105.8265076,3.16,Tay Ho,so do,nguyen_ban,Dong - Bac,Dong - Nam,89.74358974,0
7753,3,2,103,20.99843788,105.8667374,7.63,Hai Ba Trung,so do,day du,Tay - Bac,Dong - Nam,46.60194175,0
7588,2,1,54,21.00885201,105.7439194,6.97,Nam Tu Liem,so do,co ban,Tay - Bac,Dong - Nam,38.51851852,0
10934,2,2,102,21.00266647,105.8154297,4.17,Cau Giay,so do,day du,Dong,Tay,48.03921569,4
8708,3,2,106,20.96875381,105.7921066,7.52,Thanh Tri,so do,day du,Dong - Nam,Tay - Bac,27.35849057,4
6468,2,2,77,20.98373795,105.8515625,7.55,Nam Tu Liem,so do,day du,Bac,Dong - Bac,40.90909091,1
1027,3,2,104,21.03158569,105.7604523,4.57,Nam Tu Liem,so do,co ban,Dong - Bac,Tay - Nam,32.69230769,1
7657,2,2,133,21.00266647,105.8154297,4.17,Thanh Xuan,so do,day du,Tay,Dong,48.87218045,4
2362,2,2,66,21.06687164,105.9036255,10.18,Long Bien,hdmb,day du,Dong - Nam,Tay - Bac,34.09090909,2
1585,3,3,107.38,21.00048828,105.8071594,4.25,Thanh Xuan,so do,day du,Dong - Nam,Tay - Bac,35,4
6650,2,2,76,20.9751401,105.7865737,7.02,Ha Dong,so do,co ban,Dong - Nam,Tay - Bac,39.47368421,4
4920,1,1,47.5,20.9182554,105.8523961,13.35,Cau Giay,hdmb,co ban,Bac,Nam,21.05263158,1
9565,2,1,40,21.0499622,105.7897558,1.65,Thanh Xuan,so do,co ban,Nam,Bac,30.5,1
7378,2,2,77,20.95828247,105.7671967,9.26,Ha Dong,so do,day du,Tay - Bac,Dong - Nam,31.03896104,2
3095,2,2,61.5,21.03512001,105.7674332,3.81,Nam Tu Liem,so do,cao cap,Tay - Nam,Dong - Bac,44.71544715,0
9814,3,2,80,20.99477196,105.8061295,4.82,Cau Giay,so do,day du,Tay - Bac,Dong - Nam,40,5
6332,2,1,55,20.95757484,105.8069,8.54,Thanh Tri,so do,day du,Tay - Bac,Dong - Nam,20,1
5591,2,1,65,21.01905632,105.7879791,2.91,Cau Giay,so do,day du,Tay - Bac,Dong - Nam,38.46153846,1
1777,2,2,82,21.07865143,105.8026123,3.58,Tay Ho,so do,day du,Nam,Bac,43.90243902,0
4143,2,2,61,21.00278091,105.9454651,14.64,Bac Tu Liem,so do,co ban,Dong - Bac,Tay - Nam,32.78688525,0
4748,2,2,56,20.95571518,105.8070908,8.72,Thanh Tri,so do,day du,Dong - Nam,Tay - Nam,20.53571429,1
644,3,2,109,21.02295303,105.8098145,2.06,Dong Da,so do,day du,Tay - Bac,Dong - Nam,73.39449541,3
9986,1,1,46,21.00174141,105.9421463,14.35,Hoai Duc,so do,cao cap,Dong - Nam,Tay - Bac,34.7826087,0
10820,3,2,153,21.03043365,105.7692795,3.76,Nam Tu Liem,so do,day du,Tay - Nam,Dong - Bac,29.41176471,0
2114,2,2,63.5,21.00657463,105.7450485,6.99,Nam Tu Liem,chua so,co ban,Dong - Bac,Tay - Nam,44.09448819,0
3236,2,2,81.6,21.02216148,105.7717972,3.89,Nam Tu Liem,so do,day du,Tay - Nam,Dong - Bac,41.05392157,0
3228,2,2,72,21.03717804,105.8730698,6.86,Cau Giay,chua so,cao cap,Tay - Nam,Dong - Nam,45.83333333,2
4932,2,1,63,20.96246719,105.792366,8.14,Ha Dong,so do,day du,Tay - Bac,Dong - Nam,27.77777778,2
